Nro,Holiday,TIME,MISIONES,TOTAL
1,False,1/1/2020 01:00,310.605,13329.505
2,False,1/1/2020 02:00,328.386,13090.241
3,False,1/1/2020 03:00,340.531,12897.911
4,False,1/1/2020 04:00,339.679,12655.465
5,False,1/1/2020 05:00,332.897,12406.096
6,False,1/1/2020 06:00,317.869,11944.186
7,False,1/1/2020 07:00,288.381,10935.918
8,False,1/1/2020 08:00,288.152,10717.142
9,False,1/1/2020 09:00,294.75,10894.556
10,False,1/1/2020 10:00,298.29,11195.928
11,False,1/1/2020 11:00,303.083,11631.418
12,False,1/1/2020 12:00,310.675,12081.431
13,False,1/1/2020 13:00,313.455,12498.937
14,False,1/1/2020 14:00,314.688,12768.215
15,False,1/1/2020 15:00,321.518,12947.624
16,False,1/1/2020 16:00,326.761,13145.932
17,False,1/1/2020 17:00,315.195,13271.244
18,False,1/1/2020 18:00,294.199,13127.117
19,False,1/1/2020 19:00,277.248,12786.623
20,False,1/1/2020 20:00,290.205,12615.416
21,False,1/1/2020 21:00,342.74,13539.204
22,False,1/1/2020 22:00,359.424,14516.553
23,False,1/1/2020 23:00,365.442,14500.58
24,False,2/1/2020 00:00,360.82,14218.317
25,True,2/1/2020 01:00,344.921,13661.681
26,True,2/1/2020 02:00,325.615,13006.619
27,True,2/1/2020 03:00,307.726,12510.45
28,True,2/1/2020 04:00,142.763,12055.804
29,True,2/1/2020 05:00,269.909,12018.266
30,True,2/1/2020 06:00,263.707,11882.82
31,True,2/1/2020 07:00,241.108,11620.551
32,True,2/1/2020 08:00,271.685,12373.178
33,True,2/1/2020 09:00,296.987,13557.843
34,True,2/1/2020 10:00,305.668,14497.807
35,True,2/1/2020 11:00,313.888,15107.565
36,True,2/1/2020 12:00,321.112,15652.105
37,True,2/1/2020 13:00,320.453,16106.836
38,True,2/1/2020 14:00,338.952,16597.567
39,True,2/1/2020 15:00,356.04,16961.979
40,True,2/1/2020 16:00,360.084,17078.592
41,True,2/1/2020 17:00,353.968,17058.114
42,True,2/1/2020 18:00,341.975,16735.56
43,True,2/1/2020 19:00,324.439,16048.332
44,True,2/1/2020 20:00,329.336,15533.377
45,True,2/1/2020 21:00,374.081,16177.922
46,True,2/1/2020 22:00,373.046,16852.752
47,True,2/1/2020 23:00,359.902,16419.204
48,True,3/1/2020 00:00,322.845,15789.207
49,True,3/1/2020 01:00,317.895,15070.331
50,True,3/1/2020 02:00,280.032,14265.607
51,True,3/1/2020 03:00,272.008,13591.647
52,True,3/1/2020 04:00,259.966,13162.935
53,True,3/1/2020 05:00,249.331,12921.596
54,True,3/1/2020 06:00,238.882,12729.818
55,True,3/1/2020 07:00,221.813,12232.9
56,True,3/1/2020 08:00,246.793,12789.267
57,True,3/1/2020 09:00,271.743,13911.661
58,True,3/1/2020 10:00,284.224,14901.807
59,True,3/1/2020 11:00,301.084,15638.856
60,True,3/1/2020 12:00,319.589,16297.432
61,True,3/1/2020 13:00,323.933,16928.461
62,True,3/1/2020 14:00,348.502,17487.272
63,True,3/1/2020 15:00,372.341,17890.837
64,True,3/1/2020 16:00,380.675,18042.856
65,True,3/1/2020 17:00,371.867,17961.394
66,True,3/1/2020 18:00,350.061,17606.022
67,True,3/1/2020 19:00,330.622,16884.096
68,True,3/1/2020 20:00,335.836,16337.476
69,True,3/1/2020 21:00,375.776,16692.149
